timestamp,open,high,low,close,volume,funding_rate,cot_large_spec_net,cot_commercial_net,cot_open_interest_all
2026-04-15 06:00:00+00:00,73985.1,74022.5,73834.0,73860.8,190265.35,2.09870467977e-05,2193,-2043,23761
2026-04-15 07:00:00+00:00,73860.9,73986.0,73443.0,73706.9,565096.38,2.09870467977e-05,2193,-2043,23761
2026-04-15 08:00:00+00:00,73706.9,74152.3,73644.0,74077.1,332687.75,2.09870467977e-05,2193,-2043,23761
2026-04-15 09:00:00+00:00,74077.0,74150.0,73852.4,73975.1,191065.82,2.09870467977e-05,2193,-2043,23761
2026-04-15 10:00:00+00:00,73975.0,74243.2,73741.4,73826.1,354792.37,2.09870467977e-05,2193,-2043,23761
2026-04-15 11:00:00+00:00,73826.1,74232.0,73826.1,74163.1,193843.41,2.09870467977e-05,2193,-2043,23761
2026-04-15 12:00:00+00:00,74163.1,74444.0,74006.6,74226.4,301888.27,2.09870467977e-05,2193,-2043,23761
2026-04-15 13:00:00+00:00,74226.4,74391.5,73772.9,74016.7,484434.45,2.09870467977e-05,2193,-2043,23761
2026-04-15 14:00:00+00:00,74016.7,74479.8,73780.0,74111.0,597375.78,2.09870467977e-05,2193,-2043,23761
2026-04-15 15:00:00+00:00,74111.0,74271.9,73542.0,73802.4,499499.01,2.09870467977e-05,2193,-2043,23761
2026-04-15 16:00:00+00:00,73802.3,74144.0,73721.8,73907.6,312358.05,2.09870467977e-05,2193,-2043,23761
2026-04-15 17:00:00+00:00,73907.7,74211.0,73877.5,74099.6,229742.19,2.09870467977e-05,2193,-2043,23761
2026-04-15 18:00:00+00:00,74099.5,74372.7,74034.8,74354.8,210790.69,2.09870467977e-05,2193,-2043,23761
2026-04-15 19:00:00+00:00,74354.8,75250.0,74317.3,74963.0,607102.12,2.09870467977e-05,2193,-2043,23761
2026-04-15 20:00:00+00:00,74962.2,75013.4,74469.1,74794.4,316545.94,2.09870467977e-05,2193,-2043,23761
2026-04-15 21:00:00+00:00,74794.4,74820.0,74502.0,74706.0,206086.02,2.09870467977e-05,2193,-2043,23761
2026-04-15 22:00:00+00:00,74706.1,75391.9,74692.8,74929.5,394090.16,2.09870467977e-05,2193,-2043,23761
2026-04-15 23:00:00+00:00,74929.6,74929.6,74572.6,74773.4,296477.08,2.09870467977e-05,2193,-2043,23761
