timestamp,open,high,low,close,volume,funding_rate,cot_large_spec_net,cot_commercial_net,cot_open_interest_all,ema_20,ema_50,ema_200,price_vs_ema20,price_vs_ema50,price_vs_ema200,ema_bullish_stack,ema_bearish_stack,rsi,rsi_oversold,rsi_overbought,macd,macd_signal,macd_hist,macd_bullish_cross,macd_bearish_cross,volume_sma20,volume_ratio,volume_spike,buy_volume,sell_volume,buy_pressure_sma,atr,atr_pct,volatility_high,swing_high,swing_low,resistance,support,pct_to_resistance,pct_to_support,bull_divergence,bear_divergence,sig_breakout,sig_breakdown,sig_compression,sig_high_confluence_bull,sig_high_confluence_bear,sig_wyckoff_spring,sig_mm_absorption,sig_silent_institutional,sig_stealth_accum,sig_active_accum,sig_derivatives_trap,sig_sniper,sig_apex_pick
2026-04-15 06:00:00+00:00,73985.1,74022.5,73834.0,73860.8,190265.35,2.09870467977e-05,2193,-2043,23761,73860.8,73860.8,73860.8,0.0,0.0,0.0,False,False,,False,False,0.0,0.0,0.0,False,False,,,False,95132.675,190265.35,,188.5,0.25520980005632216,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-15 07:00:00+00:00,73860.9,73986.0,73443.0,73706.9,565096.38,2.09870467977e-05,2193,-2043,23761,73846.14285714287,73854.76470588235,73859.26865671642,-0.18855806377354614,-0.20021011030393046,-0.20629591855912616,False,True,0.0,True,False,-12.276923076933599,-2.45538461538672,-9.82153846154688,False,True,,,False,282548.19,565096.38,,213.82142857142856,0.29009689536722966,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-15 08:00:00+00:00,73706.9,74152.3,73644.0,74077.1,332687.75,2.09870467977e-05,2193,-2043,23761,73868.13877551022,73863.48373702422,73861.436132769,0.2828841066712579,0.28920415361984014,0.29198439472980536,True,False,15.614323674553631,True,False,7.775936883626855,-0.40912031558400486,8.18505719921086,True,False,,,False,332687.75,166343.875,,234.85561224489817,0.3170421253597916,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-15 09:00:00+00:00,74077.0,74150.0,73852.4,73975.1,191065.82,2.09870467977e-05,2193,-2043,23761,73878.32555879495,73867.86084537621,73862.56711652254,0.13099165482308603,0.14517701392256435,0.15235441695377686,True,False,14.92292951562311,True,False,15.26150025005336,2.7250037975434678,12.53649645250989,False,False,,,False,95532.91,191065.82,,239.33735422740585,0.32353772313576573,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-15 10:00:00+00:00,73975.0,74243.2,73741.4,73826.1,354792.37,2.09870467977e-05,2193,-2043,23761,73873.35169605257,73866.22316516539,73862.20425964172,-0.06396311385326388,-0.0543186905274202,-0.048880560773404164,True,False,13.95111741529304,True,False,9.066297756507993,3.9932625893363727,5.07303516717162,False,False,,,False,177396.185,354792.37,,258.08468606830564,0.3495846131223316,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-15 11:00:00+00:00,73826.1,74232.0,73826.1,74163.1,193843.41,2.09870467977e-05,2193,-2043,23761,73900.94677261899,73877.86539398243,73865.19824710797,0.35473595241968614,0.3860893983555866,0.40330461429946995,True,False,25.731541859312458,True,False,30.99237787972379,9.393085647413857,21.599292232309935,False,False,,,False,193843.41,96921.705,,268.642922777712,0.362232596503803,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-15 12:00:00+00:00,74163.1,74444.0,74006.6,74226.4,301888.27,2.09870467977e-05,2193,-2043,23761,73931.94231808385,73891.53341774782,73868.79229440044,0.39828208577190327,0.45318667344334984,0.4841120241607954,True,False,27.732855208231115,True,False,52.867313840877614,18.08793128610661,34.779382554771004,False,False,,,False,301888.27,150944.135,,280.69699972216074,0.3781632946258484,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-15 13:00:00+00:00,74226.4,74391.5,73772.9,74016.7,484434.45,2.09870467977e-05,2193,-2043,23761,73940.01447826634,73896.44191116947,73870.26401286412,0.10371315487934714,0.16273867282417387,0.19823401079272512,True,False,25.300539879808497,True,False,52.67511479232053,25.005367987349395,27.669746804971133,False,False,,,False,242217.225,484434.45,,304.8329283134354,0.4118434465646745,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-15 14:00:00+00:00,74016.7,74479.8,73780.0,74111.0,597375.78,2.09870467977e-05,2193,-2043,23761,73956.29881366955,73904.85595386871,73872.65939582071,0.2091791893483138,0.27893166622226206,0.322637097579264,True,False,28.34405501570636,True,False,59.44675240620563,31.893644871120646,27.553107535084987,False,False,,,False,597375.78,298687.89,,333.0448620053331,0.449386544514759,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-15 15:00:00+00:00,74111.0,74271.9,73542.0,73802.4,499499.01,2.09870467977e-05,2193,-2043,23761,73941.64178379627,73900.83807332483,73871.96029735483,-0.1883130810151756,-0.13320291879121737,-0.09416332946200198,True,False,24.785135169292687,True,False,39.45704680563358,33.40632525802324,6.050721547610344,False,False,,,False,249749.505,499499.01,256837.19,361.3916575763803,0.4896746685424598,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-15 16:00:00+00:00,73802.3,74144.0,73721.8,73907.6,312358.05,2.09870467977e-05,2193,-2043,23761,73938.399709149,73901.10324691994,73872.31492126176,-0.04165590446933212,0.008791144914788338,0.04776495602697417,True,False,28.099444006803566,True,False,31.737966385728214,33.07265348356423,-1.3346870978360172,False,True,,,False,312358.05,156179.025,278559.72750000004,365.73511060663867,0.4948545354018242,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-15 17:00:00+00:00,73907.7,74211.0,73877.5,74099.6,229742.19,2.09870467977e-05,2193,-2043,23761,73953.75211780147,73908.88743331525,73874.57646433378,0.19721498642315197,0.2580373934823853,0.3046021330150985,True,False,33.830289530641366,False,False,40.64480689566699,34.587084165984784,6.0577227296822045,True,False,,,False,229742.19,114871.095,273279.1275,363.43260270616446,0.4904649994145237,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-15 18:00:00+00:00,74099.5,74372.7,74034.8,74354.8,210790.69,2.09870467977e-05,2193,-2043,23761,73991.94715420132,73926.37420063622,73879.35480797225,0.49039504939975087,0.5795303827576336,0.6435426964184111,True,False,40.60653655248878,False,False,67.51774681774259,41.17321669633635,26.344530121406244,False,False,,,False,210790.69,105395.345,261089.42150000003,361.6088453700094,0.48632885216557564,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-15 19:00:00+00:00,74354.8,75250.0,74317.3,74963.0,607102.12,2.09870467977e-05,2193,-2043,23761,74084.42837761072,73967.02619276814,73890.13734719642,1.1859059206223115,1.346510544625945,1.4519700345966255,True,False,52.96808976000841,False,False,136.31999038268987,60.202571433607055,76.1174189490828,False,False,,,False,607102.12,303551.06,312246.34249999997,402.4010707007228,0.5367995820614474,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-15 20:00:00+00:00,74962.2,75013.4,74469.1,74794.4,316545.94,2.09870467977e-05,2193,-2043,23761,74152.04472260017,73999.4722244243,73899.13498553277,0.8662677877634379,1.0742343853005452,1.2114688685361317,True,False,49.86949219646712,False,False,175.22180525117437,83.20641819712051,92.01538705405386,False,False,,,False,158272.97,316545.94,310334.021,412.5367085078132,0.5515609571141866,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-15 21:00:00+00:00,74794.4,74820.0,74502.0,74706.0,206086.02,2.09870467977e-05,2193,-2043,23761,74204.80236806683,74027.17919601551,73907.16349313941,0.6754247918445477,0.9169886133132946,1.080864789155041,True,False,48.27489292446041,False,False,196.65175359255227,105.89548527620687,90.7562683163454,False,False,,,False,103043.01,206086.02,301253.981,405.7840864715409,0.5431746934269548,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-15 22:00:00+00:00,74706.1,75391.9,74692.8,74929.5,394090.16,2.09870467977e-05,2193,-2043,23761,74273.8211901557,74062.56432558353,73917.33599569523,0.8827858851716262,1.170545041629084,1.3693188352509247,True,False,52.417500658128645,False,False,229.02961336323642,130.52231089361277,98.50730246962365,False,False,,,False,394090.16,197045.08,310474.17,426.7352231521445,0.5695156422398981,False,True,False,75391.9,,0.6171134199480768,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-15 23:00:00+00:00,74929.6,74929.6,74572.6,74773.4,296477.08,2.09870467977e-05,2193,-2043,23761,74321.40012442658,74090.44023438418,73925.85404548931,0.6081692148111959,0.9217920199357436,1.1464811133452169,True,False,49.43929463168819,False,False,239.33443667800748,152.28473605049172,87.04970062751576,False,False,,,False,148238.54,296477.08,301076.30149999994,421.7541357841342,0.5640430096586945,False,False,False,75391.9,,0.8271658103015244,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-16 00:00:00+00:00,74773.4,74847.4,74400.5,74766.0,230753.24,2.09870467977e-05,2193,-2043,23761,74363.7429697193,74116.93277421226,73934.21370672822,0.5409316613399862,0.8757340616955172,1.1250356926377763,True,False,49.29630442571439,False,False,244.09024483998655,170.6458378083907,73.44440703159586,False,False,,,False,115376.62,230753.24,252876.3855,423.55026894240996,0.5665011755910574,False,False,False,75391.9,,0.8371452264398178,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-16 01:00:00+00:00,74765.9,74765.9,74410.3,74609.6,116591.23,2.09870467977e-05,2193,-2043,23761,74387.15792498413,74136.25305757648,73940.93396835282,0.2990328992541929,0.6384824197358706,0.9043245679495687,True,False,46.251564738309035,False,False,232.55829687752703,183.02832962221797,49.52996725530906,False,False,331574.26550000004,0.35162930942238635,False,58295.615,116591.23,233730.99649999998,418.70382116080907,0.5611929579582373,False,False,False,75391.9,,1.0485245866483512,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-16 02:00:00+00:00,74609.6,75220.4,74556.8,74843.1,351525.76,2.09870467977e-05,2193,-2043,23761,74430.58097974755,74163.97254551465,73949.91074478712,0.5542332396474231,0.9157107301238062,1.2078300652659646,True,False,51.106889579889916,False,False,239.49983853797312,194.322631405369,45.17720713260411,False,False,339637.286,1.0350034418776977,False,351525.76,175762.88,237647.7675,436.19640536360777,0.5828144549913188,False,False,False,75391.9,,0.733267328584717,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2026-04-16 03:00:00+00:00,74843.0,75126.7,74822.2,74844.6,164700.61,2.09870467977e-05,2193,-2043,23761,74470.01136262873,74190.66381823957,73958.813125436,0.5030060161361152,0.8814265139378201,1.1976758916637615,True,False,51.13742598191833,False,False,242.32868355925893,203.923841836147,38.40484172311193,False,False,319617.49749999994,0.5153053612154009,False,164700.61,82350.305,231143.60950000002,426.7895192662072,0.5702342176539218,False,False,False,75391.9,,0.7312484801842595,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2026-04-16 04:00:00+00:00,74844.6,75129.6,74680.0,74900.1,221334.31,2.09870467977e-05,2193,-2043,23761,74510.97218523551,74218.48484497528,73968.17916398888,0.5222422998281561,0.9183900162452279,1.259894249857139,True,False,52.32389758852697,False,False,246.21078511656378,212.38123049223037,33.82955462433341,False,False,314049.8255,0.7047745040062122,False,221334.31,110667.155,232197.97149999999,428.4188393186214,0.5719870057831983,False,False,False,75391.9,,0.6566079351028747,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2026-04-16 05:00:00+00:00,74900.0,75104.1,74850.1,75002.9,147579.49,2.09870467977e-05,2193,-2043,23761,74557.82245330833,74249.24622360371,73978.47489370045,0.5969562039857004,1.0150322255483033,1.3847610507942225,True,False,54.52644241204522,False,False,254.64706656326598,220.8343977064375,33.81266885682848,False,False,311875.509,0.4731999972463371,False,147579.49,73789.745,186245.7085,415.9603507958628,0.5545923568233533,False,False,False,75391.9,,0.51864661233099,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2026-04-16 06:00:00+00:00,75002.9,75083.1,74813.7,74987.8,145350.72,2.09870467977e-05,2193,-2043,23761,74598.77269585039,74278.20911679573,73988.51792958402,0.5214929014123728,0.95531501316693,1.3505907381021118,True,False,54.130859565816046,False,False,257.1501695022598,228.09755206560197,29.05261743665784,False,False,301403.4265,0.48224640870166086,False,72675.36,145350.72,177685.9475,405.49175431044466,0.5407436333782891,False,False,False,75391.9,,0.5388876590591953,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2026-04-16 07:00:00+00:00,74987.8,75043.1,74600.0,74673.4,201722.25,2.09870467977e-05,2193,-2043,23761,74605.88005815036,74293.70679849002,73995.33267655334,0.09050217194275667,0.5110704767226539,0.9163649907631392,True,False,46.55717547565875,False,False,231.10046189605782,228.69813403169314,2.402327864364679,False,False,301797.3685,0.6684029453358207,False,100861.125,201722.25,177467.75900000002,408.1780575739848,0.5466177481860808,False,False,False,75391.9,,0.9621900167931287,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2026-04-16 08:00:00+00:00,74673.5,74718.6,74474.0,74635.9,302982.79,2.09870467977e-05,2193,-2043,23761,74608.73910023128,74307.1261397257,74001.70648076675,0.036404448186995626,0.4424526655169924,0.8569985063764366,True,False,45.7352234286066,False,False,205.0660703311005,223.97172129157462,-18.905650960474134,False,True,301852.0945,1.0037458593814725,False,151491.395,302982.79,153207.8825,396.4939106044149,0.5312375285947043,False,False,False,75391.9,,1.0129173762224346,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-16 09:00:00+00:00,74635.8,74860.0,74555.0,74559.6,204740.1,2.09870467977e-05,2193,-2043,23761,74604.05918592354,74317.02707542272,74007.2576600626,-0.059593521329367106,0.32640289059343003,0.746335369531558,True,False,44.03186935332604,False,False,176.24521004140843,214.4264190415414,-38.18120900013298,False,False,287867.377,0.7112306442421227,False,102370.05,204740.1,148621.0335,389.95863127552815,0.5230159916033993,False,False,False,75391.9,,1.1162881775116662,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-16 10:00:00+00:00,74559.7,74611.2,74240.0,74276.2,362410.27,2.09870467977e-05,2193,-2043,23761,74572.83450154988,74315.42601364145,74009.93370324606,-0.39777823054817085,-0.05278313769506592,0.35977102455134063,True,False,38.3227309633715,False,False,129.0488641159609,197.35090805642534,-68.30204394046444,False,False,276119.1015,1.3125143028179818,False,181205.135,362410.27,155203.88499999998,388.61872904156166,0.5232076076072304,False,False,False,75391.9,,1.5020962300171483,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-16 11:00:00+00:00,74276.3,74544.2,74250.1,74532.3,271465.75,2.09870467977e-05,2193,-2043,23761,74568.97407283084,74323.93087585158,74015.13137784062,-0.04918140994539728,0.28035266931248937,0.6987336407190646,True,False,45.23330884320397,False,False,111.0306573183625,180.0868579088128,-69.05620059045029,False,False,264717.43850000005,1.025492508307117,False,271465.75,135732.875,176520.89849999998,381.86739125287806,0.5123515459108039,False,False,False,75391.9,,1.1533254709702925,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-16 12:00:00+00:00,74532.4,74827.2,74532.3,74581.2,283747.14,2.09870467977e-05,2193,-2043,23761,74570.13844684695,74334.0198611123,74020.7639014442,0.014833757028537517,0.33252626368051946,0.757133632533164,True,False,46.46668994963276,False,False,99.54937669551873,163.97936166615398,-64.42998497063525,False,False,263286.89300000004,1.0777108452565467,False,283747.14,141873.57,169743.0365,375.65543473481495,0.5036864983867448,False,False,False,75391.9,,1.087003158973035,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-16 13:00:00+00:00,74581.3,74990.0,73220.2,73750.0,1170368.58,2.09870467977e-05,2193,-2043,23761,74492.03002333772,74311.11712146085,74018.06973327062,-0.9961200186184327,-0.7550917590751687,-0.3621679601165323,True,False,32.90256231776925,False,False,23.11305282638932,135.80609989820104,-112.69304707181172,False,False,310318.2125,3.7715110904101383,True,585184.29,1170368.58,211791.4045,475.2371893966141,0.6443894093513411,False,False,True,75391.9,73220.2,2.226305084745755,0.7183728813559361,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-16 14:00:00+00:00,73750.0,74150.0,73377.8,73937.1,893367.25,2.09870467977e-05,2193,-2043,23761,74439.17954492461,74296.44978336434,74017.26406428285,-0.6744829107386899,-0.48367019475646045,-0.10830454934570562,True,False,37.33676822885549,False,False,-22.110996391027584,104.22268064035532,-126.3336770313829,False,False,344447.0405,2.593627306837029,True,893367.25,446683.625,278994.69850000006,496.44881872542715,0.6714475124469679,False,False,False,75391.9,73220.2,1.9676184216042936,0.969607950541756,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-16 15:00:00+00:00,73937.0,74855.0,73896.5,74660.0,777874.75,2.09870467977e-05,2193,-2043,23761,74460.21006445559,74310.70665460496,74023.6594467278,0.2683177167663963,0.4700444405925908,0.8596448190056681,True,False,50.851545855086485,False,False,0.3762698505015578,83.45339848238457,-83.07712863188301,False,False,352985.67199999996,2.2037006363249785,True,777874.75,388937.375,342024.2245,529.4524745307538,0.709151452626244,False,False,False,75391.9,73220.2,0.9803107420305306,1.9284757567640007,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2026-04-16 16:00:00+00:00,74660.1,74899.8,74025.0,74136.9,488141.67,2.09870467977e-05,2193,-2043,23761,74429.41862974555,74303.89070736554,74024.78621840217,-0.3930147986251323,-0.2247401929775331,0.15145438078949588,True,False,43.534715234016,False,False,-23.738564516985207,62.01500588251062,-85.75357039949583,False,False,361565.4585,1.3500782735859709,False,244070.835,488141.67,359163.772,554.1201549214145,0.7474282778500511,False,False,False,75391.9,73220.2,1.6928142396026813,1.2364962656922491,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-16 17:00:00+00:00,74137.0,74414.4,73866.5,74302.8,391950.9,2.09870467977e-05,2193,-2043,23761,74417.35971262692,74303.84793452767,74027.55252468673,-0.15394218911998694,-0.001410336822115008,0.3718176083445154,True,False,46.179631097718605,False,False,-29.127240280475235,43.78655664991345,-72.91379693038868,False,False,370858.7025,1.0568739451381757,False,391950.9,195975.45,388272.74950000003,553.6758581413131,0.7451614988147326,False,False,False,75391.9,73220.2,1.46575902926941,1.457011041306661,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2026-04-16 18:00:00+00:00,74302.7,75088.0,74196.0,75003.9,388373.26,2.09870467977e-05,2193,-2043,23761,74473.22069237674,74331.30095670305,74037.26742493862,0.7125773569204302,0.9048665025905045,1.305602716957888,True,False,55.636985290278076,False,False,22.91100224418915,39.61144576876859,-16.70044352457944,False,False,370572.85750000004,1.0480348253784344,False,388373.26,194186.63,411960.936,577.8418682740764,0.7704157627457725,False,False,False,75391.9,73220.2,0.5173064333987967,2.378143003230495,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2026-04-16 19:00:00+00:00,75003.9,75388.0,74700.0,75317.0,416526.36,2.09870467977e-05,2193,-2043,23761,74553.5806264361,74369.95582114608,74050.00108240193,1.0239875364124307,1.273423075753177,1.7110045902473017,True,False,59.0939747110031,False,False,88.39724921087327,49.36860645718953,39.02864275368374,True,False,376575.3215,1.106090431897832,False,416526.36,208263.18,443376.567,585.7103062544995,0.7776601647098259,False,False,False,75391.9,73220.2,0.09944634013568542,2.7839664352005564,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2026-04-16 20:00:00+00:00,75317.0,75522.3,74959.2,75185.6,300430.56,2.09870467977e-05,2193,-2043,23761,74613.7729477279,74401.94186737564,74061.30057411932,0.7663827061428776,1.0532764507964893,1.5180660036553184,True,False,57.08356278700652,False,False,128.2147105185577,65.13782726946317,63.07688324909452,False,False,380059.1875,0.7904836138187029,False,150215.28,300430.56,440277.58150000003,584.0952843791786,0.7768712152050107,False,True,False,75522.3,73220.2,0.447825115447635,2.6140643953097515,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2026-04-16 21:00:00+00:00,75185.7,75244.0,74747.0,74903.2,197186.63,2.09870467977e-05,2193,-2043,23761,74641.33742889669,74421.59904904719,74069.67768283455,0.35082781220628495,0.6471252393211973,1.1253219174715232,True,False,52.91688309885565,False,False,135.42195558277308,79.19465293212515,56.22730265064793,False,False,384088.95749999996,0.5133879174331639,False,98593.315,197186.63,422990.338,577.8741926378087,0.7714946659659517,False,False,False,75522.3,73220.2,0.8265334458340977,2.246899998931955,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2026-04-16 22:00:00+00:00,74903.2,75083.4,74784.4,74833.5,156913.45,2.09870467977e-05,2193,-2043,23761,74659.63862614462,74437.75202751592,74077.27790489589,0.23287197347148644,0.531649548387481,1.0208556746307347,True,False,51.90976391820088,False,False,133.96527344694186,90.1487770350885,43.816496411853365,False,False,374358.342,0.41915307446254263,False,78456.725,156913.45,402461.29650000005,557.9546074493938,0.7455946968261459,False,False,False,75522.3,73220.2,0.9204433843131792,2.155852659570918,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2026-04-16 23:00:00+00:00,74833.6,75148.9,74797.3,75106.7,138477.61,2.09870467977e-05,2193,-2043,23761,74702.21589984513,74463.98528133883,74087.52091081733,0.541461983801342,0.863121569753315,1.3756420469373,True,False,55.4859211323611,False,False,153.09106068017718,102.73723376410624,50.35382691607094,False,False,373047.19200000004,0.37120668100351223,False,138477.61,69238.805,357790.6285,543.2149926315794,0.7232577022177509,False,False,False,75522.3,73220.2,0.553346106272817,2.5117599361974365,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2026-04-17 00:00:00+00:00,75106.7,75114.3,74840.9,74900.1,126584.41,2.09870467977e-05,2193,-2043,23761,74721.06200462178,74481.08781932553,74095.6062748888,0.23960847259792786,0.5625752696992045,1.0857509177083875,True,False,52.31751320005121,False,False,149.8501126642659,112.15980954413817,37.69030312012774,False,False,368309.697,0.34369013640170326,False,63292.205,126584.41,274783.124,523.9424931578958,0.6995217538533269,False,False,False,75522.3,73220.2,0.8307065010594071,2.2428541483923365,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2026-04-17 01:00:00+00:00,74900.1,75000.0,74525.0,74699.0,239233.04,2.09870467977e-05,2193,-2043,23761,74718.96086132446,74489.63339503825,74101.61019255161,-0.026714586357149985,0.281068110311967,0.8061765539184396,True,False,49.36274105641466,False,False,129.56104954452894,115.64005754421633,13.920992000312609,False,False,372892.3745,0.6415605583803646,False,119616.52,239233.04,208957.301,520.4466007894747,0.696724990681903,False,False,False,75522.3,73220.2,1.1021566553769166,1.9796784428171768,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2026-04-17 02:00:00+00:00,74699.0,74772.4,74495.2,74660.5,145586.17,2.09870467977e-05,2193,-2043,23761,74713.39316024593,74496.33404621323,74107.17128516304,-0.07079475045724207,0.22036782868392973,0.7466601480547106,True,False,48.7945665928657,False,False,109.11735565248819,114.33551716587071,-5.218161513382526,False,True,372904.147,0.3904117751739565,False,72793.085,145586.17,191829.526,503.0718435902263,0.6738125830797091,False,False,False,75522.3,73220.2,1.1542917607034548,1.929132539964242,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-17 03:00:00+00:00,74660.5,74798.9,74558.6,74577.3,176692.73,2.09870467977e-05,2193,-2043,23761,74700.43190688918,74499.50918165586,74111.84918282312,-0.16483426366617776,0.10441789375345495,0.6280383262718,True,False,47.52158923447978,False,False,85.21967689771554,108.51234911223969,-23.292672214524146,False,False,371652.671,0.47542435124864213,False,88346.365,176692.73,161469.07249999998,484.3024261909236,0.6493965673079122,False,False,False,75522.3,73220.2,1.2671416101146058,1.8197226233719987,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-17 04:00:00+00:00,74577.2,74820.5,74550.1,74749.0,130889.32,2.09870467977e-05,2193,-2043,23761,74705.0574395664,74509.2931353164,74118.18899194927,0.058821399701281495,0.3217140501497792,0.8510879942293936,True,False,50.39755649470459,False,False,79.22212599984778,102.6543044897613,-23.432178489913525,False,False,363047.9975,0.36052896834942605,False,130889.32,65444.66,135720.67849999998,469.02368146300006,0.6274648242290868,False,False,False,75522.3,73220.2,1.0345288900185994,2.0452447524381636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-17 05:00:00+00:00,74749.0,74766.6,74510.3,74606.0,155932.4,2.09870467977e-05,2193,-2043,23761,74695.62339770293,74513.08556138244,74123.04283282539,-0.1199848044988529,0.12469546512205582,0.6515614425919538,True,False,48.03640327064736,False,False,62.2129664530803,94.56603688242511,-32.35307042934481,False,False,360607.6125,0.43241571889999963,False,77966.2,155932.4,101864.6625,453.82913278707167,0.6083011189275281,False,False,False,75522.3,73220.2,1.2281854006380222,1.8574913545827452,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-17 06:00:00+00:00,74606.1,74909.3,74555.0,74896.7,189233.52,2.09870467977e-05,2193,-2043,23761,74714.77355030265,74528.12926485763,74130.74091409081,0.24349461432130828,0.49453909386687805,1.0332543240014889,True,False,52.87035729614196,False,False,71.36746576598671,89.92632265913744,-18.558856893150733,False,False,351948.775,0.5376734725103106,False,189233.52,94616.76,105766.4865,446.71990901656676,0.5964480531406147,False,False,False,75522.3,73220.2,0.8352837975505006,2.2384163788257694,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-17 07:00:00+00:00,74896.8,75064.7,74892.6,75043.8,338244.89,2.09870467977e-05,2193,-2043,23761,74746.10940265478,74548.35164662793,74139.82607912474,0.3982690199185804,0.6646000111720626,1.2192824945536074,True,False,55.14426888977937,False,False,89.46096276878961,89.83325068106788,-0.3722879122782672,False,False,355287.73199999996,0.9520308739509195,False,338244.89,169122.445,129731.644,427.10420122966855,0.5691398906101084,False,False,False,75522.3,73220.2,0.6376276254667275,2.4300475189156274,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2026-04-17 08:00:00+00:00,75043.7,75849.2,74961.4,75739.3,781758.43,2.09870467977e-05,2193,-2043,23761,74840.69898335432,74595.05550362292,74155.74124251654,1.2006849599915492,1.5339414772893487,2.1354499745402653,True,False,63.99062073592972,False,False,158.0987628391449,103.48635311268329,54.61240972646162,True,False,380188.2965,2.056240124161739,True,781758.43,390879.215,200061.8145,460.01104399897815,0.6073610978699012,False,False,False,75522.3,73220.2,-0.2865091174594959,3.3260143677060734,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
